Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_180354
Start Time: 2025-12-09T18:03:54.333703
==================================================

Time: 2025-12-09T18:04:15.337208Z | Gaze: (777, 244) | Conf: 1.000 | CPU: 35.3% | RAM: 11678.59MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.368405Z | Gaze: (782, 248) | Conf: 1.000 | CPU: 6.2% | RAM: 11677.63MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.400395Z | Gaze: (781, 247) | Conf: 1.000 | CPU: 12.5% | RAM: 11679.79MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.463510Z | Gaze: (783, 252) | Conf: 1.000 | CPU: 8.8% | RAM: 11676.07MB | Mem%: 72.9%
Time: 2025-12-09T18:04:15.496113Z | Gaze: (788, 253) | Conf: 1.000 | CPU: 4.5% | RAM: 11679.47MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.514063Z | Gaze: (796, 252) | Conf: 1.000 | CPU: 25.0% | RAM: 11675.88MB | Mem%: 72.9%
Time: 2025-12-09T18:04:15.538997Z | Gaze: (798, 252) | Conf: 1.000 | CPU: 22.2% | RAM: 11679.41MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.559233Z | Gaze: (796, 251) | Conf: 1.000 | CPU: 50.0% | RAM: 11676.13MB | Mem%: 72.9%
Time: 2025-12-09T18:04:15.595582Z | Gaze: (787, 250) | Conf: 1.000 | CPU: 11.8% | RAM: 11678.04MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.641426Z | Gaze: (781, 249) | Conf: 1.000 | CPU: 33.3% | RAM: 11674.9MB | Mem%: 72.9%
Time: 2025-12-09T18:04:15.677643Z | Gaze: (777, 253) | Conf: 1.000 | CPU: 0.0% | RAM: 11676.93MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.705426Z | Gaze: (775, 252) | Conf: 1.000 | CPU: 6.2% | RAM: 11673.64MB | Mem%: 72.9%
Time: 2025-12-09T18:04:15.739999Z | Gaze: (781, 251) | Conf: 1.000 | CPU: 12.5% | RAM: 11677.47MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.772912Z | Gaze: (793, 242) | Conf: 1.000 | CPU: 37.5% | RAM: 11684.05MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.798886Z | Gaze: (780, 228) | Conf: 0.745 | CPU: 43.8% | RAM: 11687.57MB | Mem%: 73.0%
