timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-11-20T18:59:31.128530Z,710,270,1.0,8.3,7309.83,93.4
2025-11-20T18:59:31.155482Z,707,266,0.965,7.1,7309.88,93.4
2025-11-20T18:59:31.189578Z,707,262,1.0,9.1,7309.86,93.4
2025-11-20T18:59:31.220326Z,691,270,0.995,4.5,7309.98,93.4
2025-11-20T18:59:31.255330Z,683,297,0.803,7.4,7309.97,93.4
2025-11-20T18:59:31.288407Z,672,322,0.95,8.7,7309.2,93.3
2025-11-20T18:59:31.323722Z,684,338,1.0,11.5,7320.14,93.5
2025-11-20T18:59:31.350744Z,688,333,1.0,8.3,7320.13,93.5
2025-11-20T18:59:31.377634Z,683,333,1.0,0.0,7320.12,93.5
2025-11-20T18:59:31.409969Z,661,316,1.0,8.3,7320.11,93.5
2025-11-20T18:59:31.444990Z,626,302,0.94,8.0,7320.0,93.5
2025-11-20T18:59:31.493062Z,600,310,0.875,5.7,7318.16,93.5
2025-11-20T18:59:31.525620Z,589,313,0.93,8.0,7318.09,93.5
2025-11-20T18:59:31.556624Z,589,314,0.867,12.5,7318.03,93.5
2025-11-20T18:59:31.590720Z,581,301,0.89,4.0,7318.02,93.5
2025-11-20T18:59:31.624416Z,607,323,0.802,3.3,7318.02,93.5
2025-11-20T18:59:31.653425Z,670,323,0.755,0.0,7318.02,93.5
2025-11-20T18:59:31.692549Z,724,311,0.873,10.7,7317.98,93.5
2025-11-20T18:59:31.718708Z,741,280,0.784,12.5,7317.97,93.5
2025-11-20T18:59:31.746840Z,702,287,0.814,8.3,7317.96,93.5
2025-11-20T18:59:31.779424Z,701,285,0.77,3.8,7317.96,93.5
2025-11-20T18:59:31.812972Z,705,284,0.8,9.4,7317.96,93.5
2025-11-20T18:59:31.861234Z,745,264,0.77,3.3,7317.8,93.5
2025-11-20T18:59:31.891278Z,763,291,0.76,4.2,7317.8,93.5
2025-11-20T18:59:31.925778Z,759,350,0.75,6.7,7317.8,93.5
2025-11-20T18:59:31.954777Z,737,426,0.771,9.1,7317.73,93.5
2025-11-20T18:59:31.993786Z,705,466,0.74,12.0,7304.39,93.3
2025-11-20T18:59:32.023319Z,700,488,0.693,8.0,7297.68,93.2
2025-11-20T18:59:32.058317Z,691,483,0.73,24.0,7297.14,93.2
2025-11-20T18:59:32.090323Z,711,481,0.729,29.2,7297.11,93.2
2025-11-20T18:59:32.118973Z,703,438,0.771,16.7,7298.62,93.2
2025-11-20T18:59:32.150186Z,714,430,0.749,17.4,7297.76,93.2
2025-11-20T18:59:32.182456Z,718,446,0.771,24.0,7297.92,93.2
2025-11-20T18:59:32.236031Z,699,471,0.771,15.2,7297.48,93.2
2025-11-20T18:59:32.269024Z,688,495,0.711,9.5,7298.12,93.2
2025-11-20T18:59:32.299104Z,671,476,0.85,11.5,7298.09,93.2
2025-11-20T18:59:32.329711Z,717,502,0.792,9.1,7298.11,93.2
2025-11-20T18:59:32.356683Z,729,501,0.76,5.6,7298.11,93.2
2025-11-20T18:59:32.384598Z,732,519,0.782,4.3,7298.32,93.2
2025-11-20T18:59:32.417288Z,665,481,0.815,8.3,7298.33,93.2
2025-11-20T18:59:32.454273Z,623,460,0.815,6.2,7298.33,93.2
2025-11-20T18:59:32.484205Z,610,446,0.815,11.5,7298.6,93.2
2025-11-20T18:59:32.517666Z,656,454,0.803,11.1,7298.66,93.2
2025-11-20T18:59:32.566599Z,684,455,0.827,7.7,7298.68,93.2
2025-11-20T18:59:32.597689Z,674,433,0.887,3.8,7298.68,93.2
2025-11-20T18:59:32.629114Z,645,422,0.887,11.5,7299.55,93.2
2025-11-20T18:59:32.660119Z,640,407,0.815,4.5,7299.53,93.2
2025-11-20T18:59:32.692119Z,633,411,0.965,7.7,7299.53,93.2
2025-11-20T18:59:32.724818Z,643,409,0.897,12.5,7299.53,93.2
2025-11-20T18:59:32.756818Z,617,419,0.913,16.0,7299.53,93.2
2025-11-20T18:59:32.786829Z,616,404,0.968,8.0,7299.53,93.2
2025-11-20T18:59:32.820510Z,602,391,0.996,0.0,7299.55,93.2
2025-11-20T18:59:32.849734Z,599,360,0.925,9.5,7299.69,93.2
2025-11-20T18:59:32.883634Z,598,349,0.967,11.1,7299.69,93.2
2025-11-20T18:59:32.930331Z,611,365,0.953,5.6,7299.69,93.2
2025-11-20T18:59:32.976249Z,646,386,0.885,8.3,7301.59,93.3
2025-11-20T18:59:33.001356Z,688,401,0.862,5.3,7301.8,93.3
2025-11-20T18:59:33.027271Z,694,368,0.925,21.1,7301.8,93.3
2025-11-20T18:59:33.057268Z,689,337,0.967,8.0,7301.79,93.3
2025-11-20T18:59:33.094478Z,680,311,0.967,3.3,7301.86,93.3
2025-11-20T18:59:33.126224Z,720,321,0.868,4.3,7301.89,93.3
2025-11-20T18:59:33.158231Z,734,315,0.95,19.0,7301.89,93.3
2025-11-20T18:59:33.190242Z,720,310,0.925,2.9,7301.93,93.3
2025-11-20T18:59:33.221757Z,714,332,0.897,10.5,7302.03,93.3
2025-11-20T18:59:33.256764Z,715,353,0.975,6.9,7302.09,93.3
2025-11-20T18:59:33.296265Z,681,342,1.0,6.2,7302.08,93.3
2025-11-20T18:59:33.334868Z,595,286,1.0,10.3,7302.31,93.3
2025-11-20T18:59:33.368857Z,517,239,1.0,0.0,7302.31,93.3
2025-11-20T18:59:33.393806Z,485,212,1.0,4.0,7302.31,93.3
2025-11-20T18:59:33.429459Z,478,208,1.0,12.5,7302.29,93.3
2025-11-20T18:59:33.462476Z,479,223,1.0,8.0,7302.45,93.3
2025-11-20T18:59:33.497391Z,483,264,1.0,8.0,7302.39,93.3
2025-11-20T18:59:33.525003Z,482,292,1.0,4.3,7302.57,93.3
2025-11-20T18:59:33.557955Z,487,320,1.0,12.5,7302.73,93.3
2025-11-20T18:59:33.588032Z,501,331,1.0,12.5,7302.8,93.3
2025-11-20T18:59:33.634086Z,516,338,1.0,8.3,7302.86,93.3
2025-11-20T18:59:33.668085Z,524,332,1.0,7.4,7302.86,93.3
2025-11-20T18:59:33.701189Z,536,317,1.0,7.1,7302.93,93.3
2025-11-20T18:59:33.731841Z,555,301,1.0,13.6,7304.45,93.3
2025-11-20T18:59:33.764858Z,576,286,1.0,3.4,7304.59,93.3
2025-11-20T18:59:33.796877Z,589,275,1.0,5.6,7304.9,93.3
2025-11-20T18:59:33.830276Z,586,272,1.0,7.7,7304.9,93.3
2025-11-20T18:59:33.854678Z,574,273,1.0,4.8,7304.96,93.3
2025-11-20T18:59:33.894846Z,562,272,1.0,5.9,7305.02,93.3
2025-11-20T18:59:33.932077Z,554,265,1.0,8.0,7305.27,93.3
2025-11-20T18:59:33.954055Z,555,254,1.0,8.3,7305.22,93.3
2025-11-20T18:59:34.001132Z,559,247,1.0,3.3,7307.28,93.3
2025-11-20T18:59:34.035813Z,570,244,1.0,3.3,7308.12,93.3
2025-11-20T18:59:34.067823Z,580,247,1.0,8.3,7308.48,93.3
2025-11-20T18:59:34.101858Z,585,244,1.0,4.2,7308.46,93.3
2025-11-20T18:59:34.134473Z,585,244,1.0,8.3,7308.71,93.3
2025-11-20T18:59:34.166638Z,586,242,1.0,12.0,7308.8,93.3
2025-11-20T18:59:34.195515Z,586,247,1.0,9.1,7308.86,93.3
2025-11-20T18:59:34.224194Z,587,242,1.0,16.0,7308.86,93.3
2025-11-20T18:59:34.261412Z,594,240,1.0,8.0,7309.17,93.3
2025-11-20T18:59:34.294813Z,602,229,1.0,15.6,7309.25,93.3
2025-11-20T18:59:34.327400Z,607,229,1.0,10.3,7309.29,93.3
2025-11-20T18:59:34.369339Z,607,225,1.0,23.8,7309.59,93.4
2025-11-20T18:59:34.402497Z,608,229,1.0,3.3,7309.68,93.4
2025-11-20T18:59:34.435146Z,610,229,1.0,12.5,7309.67,93.4
2025-11-20T18:59:34.472141Z,610,229,1.0,11.4,7309.67,93.4
2025-11-20T18:59:34.499216Z,605,235,1.0,0.0,7309.77,93.4
